Time & lon_vort & lat_vort & vort_max & lon_mslp & lat_mslp & mslp_min & lon_925v & lat_925v & 925v_max & lon_10m_v & lat_10m_v & 10m_v_max & prcp_trmm & ir_prcp_trmm &
2018102112 & 116.430138 & 8.559004 & 2.031324e+00 & 1.169712e+02 & 8.676388e+00 & 1.011757e+03 & 1.175625e+02 & 6.604213e+00 & 9.117612e+00 & 1.175625e+02 & 6.885244e+00 & 7.141104e+00 & 1.616994e-02 & 3.316337e-02 & 
2018102118 & 115.090546 & 7.958598 & 1.912861e+00 & 1.164926e+02 & 9.216078e+00 & 1.010042e+03 & 1.175625e+02 & 6.323183e+00 & 7.023877e+00 & 1.155938e+02 & 1.081967e+01 & 5.814115e+00 & 2.930491e-02 & 1.510489e-02 & 
2018102200 & 113.621971 & 7.771205 & 2.821170e+00 & 1.133865e+02 & 8.822605e+00 & 1.011635e+03 & 1.116562e+02 & 9.976578e+00 & 9.364332e+00 & 1.147500e+02 & 1.053864e+01 & 7.201002e+00 & 2.358012e-02 & 2.463037e-02 & 
2018102206 & 112.353600 & 7.324581 & 3.195265e+00 & 1.000000e+25 & 1.000000e+25 & 1.010702e+03 & 1.099688e+02 & 9.133487e+00 & 7.843703e+00 & 1.099688e+02 & 9.133487e+00 & 6.630286e+00 & 2.092870e-02 & 3.205591e-02 & 
2018102212 & 111.749039 & 6.424899 & 2.311494e+00 & 1.120333e+02 & 5.974768e+00 & 1.010303e+03 & 1.091250e+02 & 7.728335e+00 & 8.793002e+00 & 1.116562e+02 & 9.414517e+00 & 6.816384e+00 & 1.516777e-01 & 1.407623e-01 & 
2018102218 & 110.545937 & 4.895237 & 2.330989e+00 & 1.108341e+02 & 5.483381e+00 & 1.010357e+03 & 1.091250e+02 & 7.447305e+00 & 7.186230e+00 & 1.096875e+02 & 7.728335e+00 & 6.051502e+00 & 2.540638e-01 & 3.306409e-01 & 
2018102300 & 109.409813 & 5.629967 & 3.004530e+00 & 1.104956e+02 & 5.135295e+00 & 1.010986e+03 & 1.096875e+02 & 8.571426e+00 & 1.197084e+01 & 1.099688e+02 & 8.571426e+00 & 9.431268e+00 & 5.014669e-01 & 6.534309e-01 & 
2018102306 & 108.137199 & 5.455849 & 3.502519e+00 & 1.000000e+25 & 1.000000e+25 & 1.010634e+03 & 1.071562e+02 & 8.290396e+00 & 1.149188e+01 & 1.091250e+02 & 8.009365e+00 & 7.769025e+00 & 1.560661e-01 & 1.903573e-01 & 
2018102312 & 107.190376 & 5.280857 & 3.824873e+00 & 1.000000e+25 & 1.000000e+25 & 1.010866e+03 & 1.080000e+02 & 8.009365e+00 & 7.720803e+00 & 1.080000e+02 & 8.009365e+00 & 5.743008e+00 & 1.613007e-01 & 1.839016e-01 & 
2018102318 & 106.325211 & 5.676912 & 3.723732e+00 & 1.079901e+02 & 5.791318e+00 & 1.011230e+03 & 1.065938e+02 & 8.571426e+00 & 7.533294e+00 & 1.063125e+02 & 8.571426e+00 & 5.925384e+00 & 1.282669e-01 & 2.221661e-01 & 
2018102400 & 106.184456 & 6.277836 & 3.758236e+00 & 1.059532e+02 & 7.743044e+00 & 1.011639e+03 & 1.068750e+02 & 9.133487e+00 & 7.758066e+00 & 1.040625e+02 & 7.166274e+00 & 7.416063e+00 & 1.136921e-01 & 2.030597e-01 & 
2018102406 & 105.255936 & 6.662722 & 3.571301e+00 & 1.070894e+02 & 6.036530e+00 & 1.010756e+03 & 1.043438e+02 & 9.133487e+00 & 1.079617e+01 & 1.046250e+02 & 8.571426e+00 & 6.856102e+00 & 1.738985e-01 & 2.099291e-01 & 
2018102412 & 104.684464 & 6.972116 & 3.143102e+00 & 1.050542e+02 & 7.214701e+00 & 1.010580e+03 & 1.032188e+02 & 9.133487e+00 & 1.050848e+01 & 1.046250e+02 & 8.571426e+00 & 7.227045e+00 & 4.832017e-02 & 6.289014e-02 & 
2018102418 & 103.813927 & 7.167734 & 3.060658e+00 & 1.036251e+02 & 5.930207e+00 & 1.011889e+03 & 1.046250e+02 & 9.976578e+00 & 1.088159e+01 & 1.060312e+02 & 8.852456e+00 & 7.100529e+00 & 6.275399e-02 & 2.355176e-02 & 
2018102500 & 102.653442 & 7.670417 & 2.613219e+00 & 1.010176e+02 & 7.703970e+00 & 1.012195e+03 & 1.035000e+02 & 1.053864e+01 & 9.248988e+00 & 1.035000e+02 & 1.025761e+01 & 6.509248e+00 & 1.583717e-02 & 2.300617e-02 & 
2018102506 & 101.428421 & 7.834671 & 2.558010e+00 & 1.015812e+02 & 7.698016e+00 & 1.011892e+03 & 1.040625e+02 & 8.852456e+00 & 7.561720e+00 & 1.043438e+02 & 8.571426e+00 & 6.339900e+00 & 7.619382e-02 & 3.153104e-02 & 
2018102512 & 100.916138 & 7.837007 & 2.418076e+00 & 1.019641e+02 & 6.673546e+00 & 1.010613e+03 & 1.012500e+02 & 1.053864e+01 & 6.908764e+00 & 9.871875e+01 & 7.166274e+00 & 5.582664e+00 & 7.726369e-03 & 1.408348e-02 & 
2018102518 & 99.935890 & 8.171197 & 2.228216e+00 & 1.010466e+02 & 7.581831e+00 & 1.012055e+03 & 1.026562e+02 & 9.133487e+00 & 6.993087e+00 & 1.023750e+02 & 8.852456e+00 & 5.919515e+00 & 4.067395e-03 & 1.000000e+25 & 
2018102600 & 99.690216 & 8.344124 & 2.650604e+00 & 9.938698e+01 & 7.328116e+00 & 1.012633e+03 & 1.023750e+02 & 9.695547e+00 & 8.100070e+00 & 9.984375e+01 & 1.110070e+01 & 6.583861e+00 & 1.782323e-02 & 6.865534e-03 & 
2018102606 & 98.764183 & 8.325257 & 2.415564e+00 & 9.943181e+01 & 7.415161e+00 & 1.011077e+03 & 9.871875e+01 & 1.025761e+01 & 9.960887e+00 & 1.001250e+02 & 9.414517e+00 & 7.204514e+00 & 2.950605e-04 & 2.974185e-03 & 
2018102612 & 99.050247 & 7.264421 & 2.274786e+00 & 9.944796e+01 & 7.212543e+00 & 1.010811e+03 & 9.843750e+01 & 9.976578e+00 & 1.190228e+01 & 9.956250e+01 & 9.695547e+00 & 7.581395e+00 & 2.904790e-02 & 2.884320e-02 & 
2018102618 & 98.413208 & 6.682915 & 2.168343e+00 & 9.940423e+01 & 7.185406e+00 & 1.011753e+03 & 9.815625e+01 & 9.414517e+00 & 1.007232e+01 & 1.009688e+02 & 7.447305e+00 & 6.231007e+00 & 9.917216e-03 & 1.647622e-02 & 
2018102700 & 97.690277 & 6.906013 & 2.375696e+00 & 9.697287e+01 & 7.592977e+00 & 1.011448e+03 & 9.843750e+01 & 9.695547e+00 & 1.050344e+01 & 9.815625e+01 & 8.009365e+00 & 5.826689e+00 & 1.597542e-02 & 1.027030e-02 & 
2018102706 & 96.664070 & 6.702163 & 2.277247e+00 & 1.000000e+25 & 1.000000e+25 & 1.011741e+03 & 9.815625e+01 & 8.009365e+00 & 8.805073e+00 & 9.731250e+01 & 8.009365e+00 & 5.614587e+00 & 3.208873e-02 & 5.418370e-02 & 
2018102712 & 95.957443 & 5.991631 & 2.128385e+00 & 9.646449e+01 & 6.050653e+00 & 1.009915e+03 & 9.843750e+01 & 6.885244e+00 & 7.578734e+00 & 9.421875e+01 & 3.793910e+00 & 4.775244e+00 & 8.829666e-02 & 1.007674e-01 & 
2018102718 & 96.054756 & 5.597227 & 2.279072e+00 & 9.662203e+01 & 5.379183e+00 & 1.011709e+03 & 9.815625e+01 & 7.728335e+00 & 7.557626e+00 & 9.815625e+01 & 7.728335e+00 & 4.866246e+00 & 1.830199e-01 & 3.420784e-01 & 
2018102800 & 96.746437 & 5.255474 & 2.465569e+00 & 9.658689e+01 & 5.393605e+00 & 1.011575e+03 & 9.843750e+01 & 7.728335e+00 & 8.897818e+00 & 9.871875e+01 & 7.447305e+00 & 6.986151e+00 & 1.689352e-01 & 1.604818e-01 & 
2018102806 & 96.179916 & 5.328527 & 2.538451e+00 & 9.677650e+01 & 5.371398e+00 & 1.011308e+03 & 9.675000e+01 & 7.447305e+00 & 9.047257e+00 & 9.618750e+01 & 7.447305e+00 & 6.543058e+00 & 7.686950e-02 & 1.025919e-01 & 
2018102812 & 94.630699 & 5.707309 & 1.992686e+00 & 9.307733e+01 & 6.583926e+00 & 1.009090e+03 & 9.309375e+01 & 8.290396e+00 & 8.697072e+00 & 9.337500e+01 & 8.290396e+00 & 5.953744e+00 & 2.384488e-01 & 2.530531e-01 & 
2018102818 & 94.305641 & 5.882706 & 1.935737e+00 & 1.000000e+25 & 1.000000e+25 & 1.010945e+03 & 9.590625e+01 & 7.166274e+00 & 7.126809e+00 & 9.562500e+01 & 7.447305e+00 & 5.789411e+00 & 1.518174e-01 & 1.565678e-01 & 
2018102900 & 94.013718 & 6.119410 & 1.889144e+00 & 9.515398e+01 & 6.311783e+00 & 1.010254e+03 & 9.478125e+01 & 7.447305e+00 & 6.433515e+00 & 9.478125e+01 & 7.447305e+00 & 4.950963e+00 & 1.937329e-01 & 2.859823e-01 & 
2018102906 & 94.638329 & 5.776322 & 2.031398e+00 & 1.000000e+25 & 1.000000e+25 & 1.009479e+03 & 9.590625e+01 & 7.166274e+00 & 7.330989e+00 & 9.534375e+01 & 7.166274e+00 & 6.083082e+00 & 1.302986e-01 & 1.228755e-01 & 
2018102912 & 94.723122 & 5.507338 & 2.246446e+00 & 9.496904e+01 & 5.463108e+00 & 1.007946e+03 & 9.731250e+01 & 6.885244e+00 & 7.953956e+00 & 9.534375e+01 & 6.042153e+00 & 5.480154e+00 & 1.065820e-01 & 1.317767e-01 & 
2018102918 & 94.639488 & 5.245482 & 2.130496e+00 & 9.443364e+01 & 5.208149e+00 & 1.009456e+03 & 9.534375e+01 & 7.166274e+00 & 8.745845e+00 & 9.703125e+01 & 6.323183e+00 & 5.924376e+00 & 2.478754e-01 & 4.970067e-01 & 
2018103000 & 95.022995 & 4.757736 & 1.771324e+00 & 9.512080e+01 & 4.799244e+00 & 1.008714e+03 & 9.506250e+01 & 6.042153e+00 & 7.726592e+00 & 9.506250e+01 & 6.042153e+00 & 6.881434e+00 & 1.479818e-01 & 2.579522e-01 & 
2018103006 & 94.834511 & 4.754936 & 2.131216e+00 & 9.598489e+01 & 4.312222e+00 & 1.008184e+03 & 9.646875e+01 & 5.480092e+00 & 8.040234e+00 & 9.534375e+01 & 6.042153e+00 & 6.507163e+00 & 2.167078e-01 & 1.241132e-01 & 
